WikiId,First name,Last name,Street count
Michał_Ossowski,Michał,Ossowski,13
Krzysztof_Kolumb,Krzysztof,Kolumb,13
Piotr_Bardowski,Piotr,Bardowski,13
Halina_Poświatowska,Halina,Poświatowska,13
Józef_Kraszewski,Józef,Kraszewski,13
Maria_Kownacka,Maria,Kownacka,13
Jan_Tarnowski,Jan,Tarnowski,13
Józef_Mehoffer,Józef,Mehoffer,13
Michał_Ogiński,Michał,Ogiński,13
Ryszard_Kukliński,Ryszard,Kukliński,13
Tadeusz_Zawadzki,Tadeusz,Zawadzki,13
Marka_Grechuta,Marka,Grechuta,13
"Danuta_Siedzikówny ""Inki""",Danuta,"Siedzikówny ""Inki""",13
Edward_Stachura,Edward,Stachura,12
Witold_Małcużyński,Witold,Małcużyński,12
Franklina_Roosevelt,Franklina,Roosevelt,12
Zygmunt_Padlewski,Zygmunt,Padlewski,12
Maria_Kuncewiczowa,Maria,Kuncewiczowa,12
Hans_Andersen,Hans Christian,Andersen,12
Zygmunt_Gloger,Zygmunt,Gloger,12
Tadeusz_Ślusarski,Tadeusz,Ślusarski,12
Józef_Kustroni,Józef,Kustroni,12
Franciszek_Stefczyk,Franciszek,Stefczyk,12
Władysław_Komar,Władysław,Komar,12
Faustyna_Kowalska,Faustyna,Kowalska,12
Franciszek_Blachnicki,Franciszek,Blachnicki,12
Kazimiera_Iłłakowiczówna,Kazimiera,Iłłakowiczówna,12
Benedykt_Dybowski,Benedykt,Dybowski,12
Stanisław_Noakowski,Stanisław,Noakowski,11
Maksymilian_Jackowski,Maksymilian,Jackowski,11
Ludwik_Rydygier,Ludwik,Rydygier,11
Dionizy_Czachowski,Dionizy,Czachowski,11
Wacław_Sieroszewski,Wacław,Sieroszewski,11
Mikołaj_Bołtuci,Mikołaj,Bołtuci,11
Konrad_Wallenrod,Konrad,Wallenrod,11
Arkady_Fiedler,Arkady,Fiedler,11
Ludwik_Idzikowski,Ludwik,Idzikowski,11
Henryk_Arctowski,Henryk,Arctowski,11
Włodzimierz_Majakowski,Włodzimierz,Majakowski,11
Jan_Kozietulski,Jan,Kozietulski,11
Mieczysław_Orłowicz,Mieczysław,Orłowicz,11
Stanisław_Poniatowski,Stanisław August,Poniatowski,11
Wojciech_Kętrzyński,Wojciech,Kętrzyński,11
Alfredo_Nobel,Alfredo,Nobel,11
Czesław_Tański,Czesław,Tański,11
Aleksander_Orłowski,Aleksander,Orłowski,11
Adam_Próchnik,Adam,Próchnik,11
Longinus_Podbipięty,Longinus,Podbipięty,11
Marian_Raciborski,Marian,Raciborski,11
Krzysztof_Komedy,Krzysztof,Komedy,11
Tadeusz_Rozwadowski,Tadeusz,Rozwadowski,11
Tadeusz_Różewicz,Tadeusz,Różewicz,11
Andrzej_Mielęcki,Andrzej,Mielęcki,11
Ludwik_Pasteur,Ludwik,Pasteur,10
Józef_Brandt,Józef,Brandt,10
Matki_Teresy z Kalkuty,Matki,Teresy z Kalkuty,10
Józef_Korzeniowski,Józef,Korzeniowski,10
Gustaw_Daniłowski,Gustaw,Daniłowski,10
Mieczysław_Jastrun,Mieczysław,Jastrun,10
Ferdynand_Foch,Ferdynand,Foch,10
Aleksander_Świętochowski,Aleksander,Świętochowski,10
Samuel_Linde,Samuel Bogumił,Linde,10
Emilia_Gierczak,Emilia,Gierczak,10
Ludwik_Hirszfeld,Ludwik,Hirszfeld,10
Maurycy_Beniowski,Maurycy,Beniowski,10
Karol_Darwin,Karol,Darwin,10
Jan_Parandowski,Jan,Parandowski,10
Antoni_Madaliński,Antoni,Madaliński,10
Stanisław_Worcell,Stanisław,Worcell,10
Józef_Unrug,Józef,Unrug,10
Jan_Kantego,Jan,Kantego,10
Ludwik_Krzywicki,Ludwik,Krzywicki,10
Jan_Stanisławski,Jan,Stanisławski,10
Wojciech_Gerson,Wojciech,Gerson,10
Stefan_Rowecki,Stefan,Rowecki,10
Jan_Zagłoba,Jan Onufry,Zagłoba,10
Maksymilian_Kolbe,Maksymilian Maria,Kolbe,10
Jan_Pietrusiński,Jan,Pietrusiński,10
"Stefan_Roweckiego ""Grota""",Stefan,"Roweckiego ""Grota""",10
Hanka_Ordonówna,Hanka,Ordonówna,10
Lucjan_Żeligowski,Lucjan,Żeligowski,10
Oleńka_Billewiczówny,Oleńka,Billewiczówny,10
Henryk_Dobrzański,Henryk,Dobrzański,10
Stanisław_Stojałowski,Stanisław,Stojałowski,10
Stefan_Wyszyński,Stefan Kardynała,Wyszyński,10
Grzegorz_Fitelberg,Grzegorz,Fitelberg,10
Stach_Konwa,Stach,Konwa,10
Jan_Dzierżon,Jan,Dzierżon,10
