person,personLabel,occupationLabel
http://www.wikidata.org/entity/Q119455,Jerzy Hryniewiecki,nauczyciel akademicki
http://www.wikidata.org/entity/Q119455,Jerzy Hryniewiecki,lekkoatleta
http://www.wikidata.org/entity/Q121180,Władysław Reymont,scenarzysta
http://www.wikidata.org/entity/Q121180,Władysław Reymont,pisarz
http://www.wikidata.org/entity/Q121180,Władysław Reymont,powieściopisarz
http://www.wikidata.org/entity/Q121180,Władysław Reymont,prozaik
http://www.wikidata.org/entity/Q127345,Hugo Kołłątaj,pisarz
http://www.wikidata.org/entity/Q127345,Hugo Kołłątaj,polityk
http://www.wikidata.org/entity/Q127345,Hugo Kołłątaj,historyk
http://www.wikidata.org/entity/Q127345,Hugo Kołłątaj,ksiądz katolicki
http://www.wikidata.org/entity/Q127345,Hugo Kołłątaj,geograf
http://www.wikidata.org/entity/Q127345,Hugo Kołłątaj,nauczyciel akademicki
http://www.wikidata.org/entity/Q127345,Hugo Kołłątaj,antropolog
http://www.wikidata.org/entity/Q127345,Hugo Kołłątaj,filozof
http://www.wikidata.org/entity/Q129305,Feliks Chmurkowski,aktor
http://www.wikidata.org/entity/Q129305,Feliks Chmurkowski,reżyser filmowy
http://www.wikidata.org/entity/Q129305,Feliks Chmurkowski,reżyser teatralny
http://www.wikidata.org/entity/Q129414,Wanda Jarszewska,aktor
http://www.wikidata.org/entity/Q129414,Wanda Jarszewska,aktor filmowy
http://www.wikidata.org/entity/Q129416,Loda Halama,aktor
http://www.wikidata.org/entity/Q129416,Loda Halama,tancerz baletowy
http://www.wikidata.org/entity/Q129416,Loda Halama,aktor filmowy
http://www.wikidata.org/entity/Q129420,Maria Gorczyńska,aktor
http://www.wikidata.org/entity/Q129420,Maria Gorczyńska,aktor filmowy
http://www.wikidata.org/entity/Q129617,Jadwiga Smosarska,aktor
http://www.wikidata.org/entity/Q129617,Jadwiga Smosarska,aktor filmowy
http://www.wikidata.org/entity/Q129942,Ludwik Fritsche,aktor
http://www.wikidata.org/entity/Q130380,Klemens Mielczarek,aktor
http://www.wikidata.org/entity/Q130407,Władysław Grabowski,aktor
http://www.wikidata.org/entity/Q130412,Ludwik Sempoliński,aktor
http://www.wikidata.org/entity/Q130412,Ludwik Sempoliński,aktor filmowy
http://www.wikidata.org/entity/Q130417,Lena Żelichowska,aktor
http://www.wikidata.org/entity/Q130417,Lena Żelichowska,aktor filmowy
http://www.wikidata.org/entity/Q144439,Bolesław Prus,pisarz
http://www.wikidata.org/entity/Q144439,Bolesław Prus,dziennikarz
http://www.wikidata.org/entity/Q144439,Bolesław Prus,krytyk literacki
http://www.wikidata.org/entity/Q144439,Bolesław Prus,filozof
http://www.wikidata.org/entity/Q144439,Bolesław Prus,prozaik
http://www.wikidata.org/entity/Q151932,Irena Sendlerowa,Q924581
http://www.wikidata.org/entity/Q151932,Irena Sendlerowa,bojownik ruchu oporu
http://www.wikidata.org/entity/Q153497,Jan Czekanowski,statystyk
http://www.wikidata.org/entity/Q153497,Jan Czekanowski,antropolog
http://www.wikidata.org/entity/Q153497,Jan Czekanowski,odkrywca
http://www.wikidata.org/entity/Q153497,Jan Czekanowski,językoznawca
http://www.wikidata.org/entity/Q154399,Kazimierz Krukowski,aktor
http://www.wikidata.org/entity/Q154399,Kazimierz Krukowski,piosenkarz
http://www.wikidata.org/entity/Q508990,Jan Brzechwa,pisarz
http://www.wikidata.org/entity/Q508990,Jan Brzechwa,adwokat
http://www.wikidata.org/entity/Q508990,Jan Brzechwa,poeta
http://www.wikidata.org/entity/Q508990,Jan Brzechwa,tłumacz
http://www.wikidata.org/entity/Q508990,Jan Brzechwa,poeta i prawnik
http://www.wikidata.org/entity/Q508990,Jan Brzechwa,pisarz dziecięcy
http://www.wikidata.org/entity/Q510539,Edward Okuń,malarz
http://www.wikidata.org/entity/Q514918,Andrzej Gołoński,architekt
http://www.wikidata.org/entity/Q514918,Andrzej Gołoński,nauczyciel akademicki
http://www.wikidata.org/entity/Q515867,Andrzej Łapicki,aktor teatralny
http://www.wikidata.org/entity/Q515867,Andrzej Łapicki,reżyser teatralny
http://www.wikidata.org/entity/Q515867,Andrzej Łapicki,aktor filmowy
http://www.wikidata.org/entity/Q519894,Antoni Lange,pisarz
http://www.wikidata.org/entity/Q519894,Antoni Lange,poeta
http://www.wikidata.org/entity/Q519894,Antoni Lange,tłumacz
http://www.wikidata.org/entity/Q519894,Antoni Lange,krytyk literacki
http://www.wikidata.org/entity/Q519894,Antoni Lange,filozof
http://www.wikidata.org/entity/Q519894,Antoni Lange,językoznawca
http://www.wikidata.org/entity/Q519894,Antoni Lange,pisarz science-fiction
http://www.wikidata.org/entity/Q523193,Cezary Berezowski,prawnik
http://www.wikidata.org/entity/Q528493,Stanisław Leśniewski,matematyk
http://www.wikidata.org/entity/Q528493,Stanisław Leśniewski,nauczyciel akademicki
http://www.wikidata.org/entity/Q528493,Stanisław Leśniewski,filozof
http://www.wikidata.org/entity/Q532700,Aleksandra Śląska,aktor
http://www.wikidata.org/entity/Q532700,Aleksandra Śląska,nauczyciel akademicki
http://www.wikidata.org/entity/Q532700,Aleksandra Śląska,aktor teatralny
http://www.wikidata.org/entity/Q532700,Aleksandra Śląska,aktor filmowy
http://www.wikidata.org/entity/Q541702,Stanisław Masłowski,ilustrator
http://www.wikidata.org/entity/Q541702,Stanisław Masłowski,malarz
http://www.wikidata.org/entity/Q541702,Stanisław Masłowski,rysownik
http://www.wikidata.org/entity/Q545594,Tadeusz Baird,kompozytor
http://www.wikidata.org/entity/Q545594,Tadeusz Baird,kompozytor filmowy
http://www.wikidata.org/entity/Q545594,Tadeusz Baird,nauczyciel akademicki
http://www.wikidata.org/entity/Q545594,Tadeusz Baird,nauczyciel muzyki
http://www.wikidata.org/entity/Q551089,Felicjan Kępiński,astronom
http://www.wikidata.org/entity/Q551089,Felicjan Kępiński,nauczyciel akademicki
http://www.wikidata.org/entity/Q551607,Bolesław Piasecki,pisarz
http://www.wikidata.org/entity/Q551607,Bolesław Piasecki,polityk
http://www.wikidata.org/entity/Q552669,Edward Abramowski,psycholog
http://www.wikidata.org/entity/Q552669,Edward Abramowski,nauczyciel akademicki
http://www.wikidata.org/entity/Q552669,Edward Abramowski,socjolog
http://www.wikidata.org/entity/Q552669,Edward Abramowski,filozof
http://www.wikidata.org/entity/Q552669,Edward Abramowski,Q12961474
http://www.wikidata.org/entity/Q552957,Stefan Meller,polityk
http://www.wikidata.org/entity/Q552957,Stefan Meller,dyplomata
http://www.wikidata.org/entity/Q552957,Stefan Meller,historyk
http://www.wikidata.org/entity/Q555570,Jan Dobraczyński,pisarz
http://www.wikidata.org/entity/Q555570,Jan Dobraczyński,polityk
http://www.wikidata.org/entity/Q555570,Jan Dobraczyński,dziennikarz
http://www.wikidata.org/entity/Q556398,Stanisław Głąbiński,adwokat
http://www.wikidata.org/entity/Q556398,Stanisław Głąbiński,polityk
http://www.wikidata.org/entity/Q556398,Stanisław Głąbiński,ekonomista
http://www.wikidata.org/entity/Q556398,Stanisław Głąbiński,pedagog
http://www.wikidata.org/entity/Q556568,Franciszek Ksawery Dmochowski,pisarz
http://www.wikidata.org/entity/Q556568,Franciszek Ksawery Dmochowski,poeta
http://www.wikidata.org/entity/Q556568,Franciszek Ksawery Dmochowski,polityk
http://www.wikidata.org/entity/Q556568,Franciszek Ksawery Dmochowski,tłumacz
http://www.wikidata.org/entity/Q556568,Franciszek Ksawery Dmochowski,autor
http://www.wikidata.org/entity/Q556568,Franciszek Ksawery Dmochowski,dziennikarz
http://www.wikidata.org/entity/Q556568,Franciszek Ksawery Dmochowski,krytyk literacki
http://www.wikidata.org/entity/Q556568,Franciszek Ksawery Dmochowski,językoznawca
http://www.wikidata.org/entity/Q570170,Józef Szajna,aktor
http://www.wikidata.org/entity/Q570170,Józef Szajna,design
http://www.wikidata.org/entity/Q570170,Józef Szajna,profesor
http://www.wikidata.org/entity/Q570170,Józef Szajna,malarz
http://www.wikidata.org/entity/Q570170,Józef Szajna,rzeźbiarz
http://www.wikidata.org/entity/Q570170,Józef Szajna,reżyser teatralny
http://www.wikidata.org/entity/Q570170,Józef Szajna,reżyser
http://www.wikidata.org/entity/Q570950,Ignacy Dygas,piosenkarz
http://www.wikidata.org/entity/Q570950,Ignacy Dygas,śpiewak operowy
http://www.wikidata.org/entity/Q572007,Fryderyk Karol Nesselrode,oficer
http://www.wikidata.org/entity/Q588346,Antoni Blank,malarz
http://www.wikidata.org/entity/Q592316,Antoni Muchliński,nauczyciel akademicki
http://www.wikidata.org/entity/Q592316,Antoni Muchliński,orientalista
http://www.wikidata.org/entity/Q594023,Andrzej Janikowski,nauczyciel
http://www.wikidata.org/entity/Q594023,Andrzej Janikowski,lekarz
http://www.wikidata.org/entity/Q597207,Antoni Brodowski,malarz
http://www.wikidata.org/entity/Q597298,Antoni Edward Odyniec,pisarz
http://www.wikidata.org/entity/Q597298,Antoni Edward Odyniec,poeta
http://www.wikidata.org/entity/Q597298,Antoni Edward Odyniec,dramaturg
http://www.wikidata.org/entity/Q597298,Antoni Edward Odyniec,tłumacz
http://www.wikidata.org/entity/Q597298,Antoni Edward Odyniec,autor
http://www.wikidata.org/entity/Q597298,Antoni Edward Odyniec,pamiętnikarz
