person,personLabel,occupationLabel
http://www.wikidata.org/entity/Q366040,Stefan Żeromski,dramaturg
http://www.wikidata.org/entity/Q366040,Stefan Żeromski,pisarz science-fiction
http://www.wikidata.org/entity/Q366040,Stefan Żeromski,pamiętnikarz
http://www.wikidata.org/entity/Q451655,Andrzej Szczypiorski,pisarz
http://www.wikidata.org/entity/Q451655,Andrzej Szczypiorski,polityk
http://www.wikidata.org/entity/Q468611,Lucyna Ćwierczakiewiczowa,pisarz
http://www.wikidata.org/entity/Q468611,Lucyna Ćwierczakiewiczowa,autor
http://www.wikidata.org/entity/Q468611,Lucyna Ćwierczakiewiczowa,dziennikarz
http://www.wikidata.org/entity/Q468611,Lucyna Ćwierczakiewiczowa,właściciel salonu literackiego
http://www.wikidata.org/entity/Q516644,Leopold Stanisław Kronenberg,polityk
http://www.wikidata.org/entity/Q516644,Leopold Stanisław Kronenberg,przedsiębiorca
http://www.wikidata.org/entity/Q516644,Leopold Stanisław Kronenberg,bankier
http://www.wikidata.org/entity/Q539276,Stanisław Srokowski,dyplomata
http://www.wikidata.org/entity/Q539276,Stanisław Srokowski,geograf
http://www.wikidata.org/entity/Q539276,Stanisław Srokowski,nauczyciel akademicki
http://www.wikidata.org/entity/Q552071,Karol Beyer,fotograf
http://www.wikidata.org/entity/Q552071,Karol Beyer,numizmatyk
http://www.wikidata.org/entity/Q613342,Tadeusz Hołówko,polityk
http://www.wikidata.org/entity/Q704316,Leandro Marconi,architekt
http://www.wikidata.org/entity/Q724811,Juliusz Kaden-Bandrowski,pisarz
http://www.wikidata.org/entity/Q724811,Juliusz Kaden-Bandrowski,autor
http://www.wikidata.org/entity/Q724811,Juliusz Kaden-Bandrowski,dziennikarz
http://www.wikidata.org/entity/Q890753,Bohdan Marconi,malarz
http://www.wikidata.org/entity/Q890753,Bohdan Marconi,nauczyciel akademicki
http://www.wikidata.org/entity/Q890753,Bohdan Marconi,konserwator
http://www.wikidata.org/entity/Q1403109,Felicjan Szopski,kompozytor
http://www.wikidata.org/entity/Q1403109,Felicjan Szopski,nauczyciel akademicki
http://www.wikidata.org/entity/Q1403109,Felicjan Szopski,nauczyciel muzyki
http://www.wikidata.org/entity/Q1586947,Tadeusz Tomaszewski,psycholog
http://www.wikidata.org/entity/Q1681594,Jan Baszkiewicz,pisarz
http://www.wikidata.org/entity/Q1681594,Jan Baszkiewicz,historyk
http://www.wikidata.org/entity/Q1681594,Jan Baszkiewicz,autor
http://www.wikidata.org/entity/Q1681594,Jan Baszkiewicz,politolog
http://www.wikidata.org/entity/Q1681594,Jan Baszkiewicz,nauczyciel akademicki
http://www.wikidata.org/entity/Q1715588,Marceli Nencki,lekarz
http://www.wikidata.org/entity/Q1715588,Marceli Nencki,chemik
http://www.wikidata.org/entity/Q2356019,Zofia Mrozowska,aktor
http://www.wikidata.org/entity/Q2356019,Zofia Mrozowska,aktor filmowy
http://www.wikidata.org/entity/Q2507360,Barbara Skarga,filozof
http://www.wikidata.org/entity/Q2640798,Aleksander Jan Woyde,architekt
http://www.wikidata.org/entity/Q3180505,Adam Próchnik,polityk
http://www.wikidata.org/entity/Q3180505,Adam Próchnik,oficer
http://www.wikidata.org/entity/Q3350439,Olga Niewska,rzeźbiarz
http://www.wikidata.org/entity/Q3505543,Andrzej Niemojewski,pisarz
http://www.wikidata.org/entity/Q3505543,Andrzej Niemojewski,poeta
http://www.wikidata.org/entity/Q3505543,Andrzej Niemojewski,dramaturg
http://www.wikidata.org/entity/Q3505543,Andrzej Niemojewski,tłumacz
http://www.wikidata.org/entity/Q3968209,Stanisław Prauss,inżynier
http://www.wikidata.org/entity/Q4122521,Karol August Woyde,pisarz
http://www.wikidata.org/entity/Q4152109,Władysław Gumplowicz,geograf
http://www.wikidata.org/entity/Q4152109,Władysław Gumplowicz,specjalista ds. promocji
http://www.wikidata.org/entity/Q45638,Jerzy Wyrozumski,historyk
http://www.wikidata.org/entity/Q45638,Jerzy Wyrozumski,mediewista
http://www.wikidata.org/entity/Q56757,Jerzy Maj,farmakolog
http://www.wikidata.org/entity/Q59327,Andrzej Sariusz-Skąpski,geodeta
http://www.wikidata.org/entity/Q82280,Julian Nowak,lekarz
http://www.wikidata.org/entity/Q82280,Julian Nowak,polityk
http://www.wikidata.org/entity/Q82280,Julian Nowak,lekarz weterynarii
http://www.wikidata.org/entity/Q82280,Julian Nowak,pedagog
http://www.wikidata.org/entity/Q82280,Julian Nowak,nauczyciel akademicki
http://www.wikidata.org/entity/Q82280,Julian Nowak,mikrobiolog
http://www.wikidata.org/entity/Q82280,Julian Nowak,autor literatury faktu
http://www.wikidata.org/entity/Q82779,Adam Brodzisz,aktor
http://www.wikidata.org/entity/Q82784,Maria Malicka,aktor
http://www.wikidata.org/entity/Q82784,Maria Malicka,aktor filmowy
http://www.wikidata.org/entity/Q82879,Mikołaj Zyblikiewicz,polityk
http://www.wikidata.org/entity/Q82879,Mikołaj Zyblikiewicz,pedagog
http://www.wikidata.org/entity/Q89043,Gustaw Piotrowski,polityk
http://www.wikidata.org/entity/Q89043,Gustaw Piotrowski,chemik
http://www.wikidata.org/entity/Q89043,Gustaw Piotrowski,nauczyciel akademicki
