cemetery,cemeteryLabel,adm_location,adm_locationLabel,location
http://www.wikidata.org/entity/Q8512157,Cmentarz wojenny na Kamieniu nad Jaśliskami,http://www.wikidata.org/entity/Q3496269,Jaśliska,Point(21.8397 49.3918)
http://www.wikidata.org/entity/Q8512162,Cmentarz wojenny nr 374 - Wiśniowa,http://www.wikidata.org/entity/Q2851851,Wiśniowa,Point(20.1153 49.7788)
http://www.wikidata.org/entity/Q8512166,Cmentarz wojenny nr 373 - Wiśniowa,http://www.wikidata.org/entity/Q2851851,Wiśniowa,Point(20.1081 49.7794)
http://www.wikidata.org/entity/Q8512170,Cmentarz mariawicki w Pogorzeli,http://www.wikidata.org/entity/Q7207678,Pogorzel,Point(21.4003 51.9683)
http://www.wikidata.org/entity/Q8512181,Cmentarz wojenny nr 39 - Kołaczyce,http://www.wikidata.org/entity/Q2218834,Kołaczyce,Point(21.4403 49.8122)
http://www.wikidata.org/entity/Q8512185,Cmentarz wojenny nr 36 - Podzamcze,http://www.wikidata.org/entity/Q848983,Jasło,Point(21.4357 49.7804)
http://www.wikidata.org/entity/Q8512189,Cmentarz wojenny nr 32 - Szerzyny,http://www.wikidata.org/entity/Q2419941,Szerzyny,Point(21.2345 49.8156)
http://www.wikidata.org/entity/Q8512193,Cmentarz wojenny nr 33 - Swoszowa,http://www.wikidata.org/entity/Q2419941,Szerzyny,Point(21.2169 49.8302)
http://www.wikidata.org/entity/Q8512196,Cmentarz katolicki św. Wojciecha w Łodzi,http://www.wikidata.org/entity/Q11690068,Chojny,Point(19.4989 51.7177)
http://www.wikidata.org/entity/Q8512200,Cmentarz wojenny w Snopkach,http://www.wikidata.org/entity/Q590986,Snopki,Point(21.7511 53.6392)
http://www.wikidata.org/entity/Q8512205,Cmentarz wojenny w Bielsku Podlaskim,http://www.wikidata.org/entity/Q850714,Bielsk Podlaski,Point(23.200138888 52.76125)
http://www.wikidata.org/entity/Q8512208,Cmentarz wojenny nr 393 - Górka Kościelnicka,http://www.wikidata.org/entity/Q31487,Kraków,Point(20.1682 50.108)
http://www.wikidata.org/entity/Q8512210,Cmentarz wojenny nr 394 - Czulice,http://www.wikidata.org/entity/Q5202196,Czulice,Point(20.1846 50.1277)
http://www.wikidata.org/entity/Q8512217,Cmentarz wojenny nr 395 - Karniów,,,Point(20.1726 50.1309)
http://www.wikidata.org/entity/Q8512222,Cmentarz wojenny nr 71 - Łosie,http://www.wikidata.org/entity/Q3486793,Łosie,Point(21.0907 49.5717)
http://www.wikidata.org/entity/Q8512225,Cmentarz wojenny nr 391 - Kocmyrzów,http://www.wikidata.org/entity/Q2195202,Kocmyrzów,Point(20.1157 50.132)
http://www.wikidata.org/entity/Q8512229,Cmentarz wojenny nr 310 - Leszczyna,http://www.wikidata.org/entity/Q6532101,Leszczyna,Point(20.3808 49.8628)
http://www.wikidata.org/entity/Q8512232,Cmentarz wojenny nr 301 - Żegocina,http://www.wikidata.org/entity/Q2096731,Żegocina,Point(20.4186 49.8049)
http://www.wikidata.org/entity/Q8512236,Cmentarz wojenny nr 385 - Podgórze,http://www.wikidata.org/entity/Q31487,Kraków,Point(19.9636 50.0336)
http://www.wikidata.org/entity/Q8512240,Cmentarz wojenny nr 392 - Kocmyrzów,http://www.wikidata.org/entity/Q2195202,Kocmyrzów,Point(20.1136 50.1342)
http://www.wikidata.org/entity/Q8512244,Cmentarz wojenny nr 396 - Czulice,http://www.wikidata.org/entity/Q5202196,Czulice,Point(20.1874 50.1245)
http://www.wikidata.org/entity/Q8512248,Cmentarz wojenny nr 397 - Podstolice,,,Point(19.9892 49.9583)
http://www.wikidata.org/entity/Q8512252,Cmentarz wojenny nr 302 - Żegocina,http://www.wikidata.org/entity/Q2096731,Żegocina,Point(20.4139 49.8043)
http://www.wikidata.org/entity/Q8512256,Cmentarz wojenny nr 398 - Bieńczyce,http://www.wikidata.org/entity/Q31487,Kraków,Point(20.039444 50.089167)
http://www.wikidata.org/entity/Q8512258,Cmentarz wojenny nr 141 - Ciężkowice,http://www.wikidata.org/entity/Q959508,Ciężkowice,Point(21.008472222 49.785222222)
http://www.wikidata.org/entity/Q8512273,Cmentarz wojenny nr 23 - Jasło,http://www.wikidata.org/entity/Q848983,Jasło,Point(21.4772 49.7497)
http://www.wikidata.org/entity/Q8512277,Cmentarz wojenny nr 123 - Łużna-Pustki,http://www.wikidata.org/entity/Q2717964,Łużna,Point(21.059994 49.718823)
http://www.wikidata.org/entity/Q8512280,Cmentarz wojenny nr 376 - Suchoraba,http://www.wikidata.org/entity/Q7632976,Suchoraba,Point(20.187 49.976)
http://www.wikidata.org/entity/Q8512283,Cmentarz wojenny nr 383 - Wróblowice,http://www.wikidata.org/entity/Q31487,Kraków,Point(19.9501 49.9852)
http://www.wikidata.org/entity/Q8512288,Cmentarz Komunalny w Koszalinie,http://www.wikidata.org/entity/Q62868,Koszalin,Point(16.1998 54.1728)
http://www.wikidata.org/entity/Q8512292,Cmentarz wojenny nr 381 - Wieliczka,http://www.wikidata.org/entity/Q472621,Wieliczka,Point(20.0648 49.9888)
http://www.wikidata.org/entity/Q8512296,Cmentarz na Psim Polu - katolicki,,,Point(17.115555555 51.144444444)
